"Item","Description","Quantity","Cost","Price"
"CABLES:24 PIN POWER SUPPLY EXTENSION","24 PIN POWER EXTENSION CABLE ATX PC PSU MALE & FEMALE PORT M/F EXPANDER 24.5CM",0,116.64,144.00
"CABLES:4 PIN POWER SUPPLY EXTENSION","4 PIN POWER EXTENSION 20CM / 8 INCH 12V MALE TO FEMALE PORT",0,78.975,97.50
"CABLES:HDMI CABLE","HDMI CABLE",10,90.75,103.98
"CABLES:LAN CABLE","1 METER LAN CABLE",-50,13.50,18.00
"CABLES:POWER CORD CABLE","POWER CORD CABLE",21,33.00,54.00
"CABLES:VGA CABLE","VGA CABLE",13,52.80,57.98
"CASE FAN:12CM*1 AD-LINK BLACK","AD-LINK 12CM BLACK SINGLE FAN",4,72.00,80.00
"CASE FAN:12CM*1 GSTORM BLAZE BLUE","GSTORM BLAZE 12CM BLUE CASE FAN",7,132.00,185.00
"CASE FAN:12CM*1 GSTORM BLAZE ICE BLUE","GSTORM BLAZE 12CM ICE BLUE CASE FAN",2,132.00,185.00
"CASE FAN:12CM*1 GSTORM BLAZE RED","GSTORM BLAZE 12CM RED CASE FAN",2,132.00,185.00
"CASE FAN:12CM*1 GSTORM BLAZE RGB","GSTORM BLAZE 12CM RGB CASE FAN",0,132.00,185.00
"CASE FAN:12CM*1 INPLAY UFO GREEN","INPLAY UFO GREEN 12CM SINGLE FAN",0,166.50,200.00
"CASE FAN:12CM*1 INPLAY UFO ORANGE","INPLAY UFO ORANGE 12CM SINGLE FAN",2,166.50,200.00
"CASE FAN:12CM*3 DEEPCOOL RF120FS","DEEPCOOL RF120FS 3IN1 LED TRICOLOR FAN I W/ HUB I 4PIN PWM",1,757.90,985.27
"CASE FAN:12CM*3 INPLAY ICE TOWER KIT","INPLAY ICE TOWER 12CM 3 FAN KIT RGB WITH FAN HUB & REMOTE/ 1 MONTHS WARRANTY ONLY",2,727.10,880.88
"CASE FAN:12CM*3 KEYTECH GALAXY X3","KEYTECH GALAXY X3 ARGB COOLING FANS 3 IN 1 MUSIC SYNC GAMING FAN | 6 PIN CONNECTOR | ARGB LIGHTI...",2,734.80,926.64
"CASE FAN:12CM*3 KEYTECH STORM X3 PRO","KEYTECH STORM X3 PRO ARGB COOLING FANS 3 IN 1 MUSIC SYNC GAMING FAN | 6 PIN CONNECTOR | ARGB LIG...",0,712.80,926.64
"CASE FAN:8CM*1 AD-LINK BLACK","AD-LINK 8CM BLACK SINGLE FAN",0,45.00,52.50
"CCTV:DAHUA DH-KIT/XVR5104HS-X1 4PVS","DAHUA DH-KIT/XVR5104HS-X1 4PVS (BULLET 2MP) 4PCS ( 18M COXIAL CABLE) 1PC ( 4WAY CABLE)",0,5971.00,6926.36
"CCTV:HIKVISION 4CH KIT TVI-4CH2D2B-1","HIKVISION 4CH KIT TVI-4CH2D2B- 1 MP 2PCS DOME & 2 PCS BULLET 4 PCS (18m) COAXIAL CABLE 1PC 1:4 S...",0,4288.00,5059.84
"CHASSIS:COOLMAN ARMOR BLACK","COOLMAN ARMOR BLACK",1,1354.10,1661.85
"CHASSIS:COOLMAN STREAMER BLACK","COOLMAN STREAMER BLACK ATX GAMING CASE | RGB STRIP FRONT PANEL | TEMPERED GLASS SIDE PANEL | 3.5...",0,1617.75,1941.30
"CHASSIS:COOLMAN STREAMER WHITE","COOLMAN STREAMER WHITE ATX GAMING CASE | RGB STRIP FRONT PANEL | TEMPERED GLASS SIDE PANEL | 3.5...",0,1581.80,1898.16
"CHASSIS:COOMAN ARMOR WHITE","COOLMAN ARMOR WHITE",0,1518.00,2049.30
"CHASSIS:DARKFLASH DLM22 PINK","DARKFLASH DLM22 PINK GAMING CASE M-ATX 4MM TEMPERED GLASS DOOR OPENING SIDE PANEL WITH MAGNETIC ...",0,2165.625,2598.75
"CHASSIS:DARKFLASH DLM22 TIFANY BLUE","DARKFLASH DLM22 TIFANY BLUE GAMING CASE M-ATX 4MM TEMPERED GLASS DOOR OPENING SIDE PANEL WITH MA...",1,2165.625,2598.75
"CHASSIS:DARKFLASH DLM23 WHITE","DARKFLASH DLM23 WHITE | 3 DAYS WARRANTY ON ELECTRONICS PARTS WITH BOX",1,2178.00,2673.00
"CHASSIS:DARKFLASH POLLUX BLACK TEMPERED","DARKFLASH POLLUX BLACK MESH TEMPERED SIDE PANEL WITH 2X 140MM FRONT RAINBOW FAN",0,1942.60,2384.10
"CHASSIS:DARKFLASH POLLUX WHITE","DARKFLASH POLLUX WHITE TEMPERED SIDE PANEL WITH 2X 140MM FRONT RAINBOW FAN",0,2060.30,2528.55
"CHASSIS:FUZION MINI ATX | 165 -22","FUZION MINI ATX ACRYLIC SIDE WITH 700 WATTS POWER SUPPLY | 2X RGB FAN | 165 -22 | 1 MONTH WARRAN...",0,1320.00,1620.00
"CHASSIS:FUZION MINI ATX CASE | 275-D001","FUZION MINI ATX CASE WITH 700 WATTS POWER SUPPLY | 275-D001 | 1 MONTH WARRANTY ON ELECTRONICS PA...",0,825.00,1072.50
"CHASSIS:FUZION PINK HELA SERIES","FUZION HELA SERIES ATX TEMPERED GLASS GAMING CASE | PINK | CP01 | WITH 700 WATTS POWER SUPPLY | ...",0,2255.00,2767.50
"CHASSIS:FUZION Z-001 TEMPERED GLASS","Z-001 FUZION REGULAR ATX TEMPERED GLASS W/PSU 700W AND 3x RGB FAN",0,1925.00,2362.50
"CHASSIS:GAMEKM ICE DRILL BLACK","GAMEKM ICE DRILL BLACK MID TOWER GAMING CASE | ATX, MATX, MITX | TEMPERED GLASS SIDE PANEL | MES...",0,1063.125,1403.33
"CHASSIS:GAMEKM ICE DRILL PINK","GAMEKM ICE DRILL PINK MID TOWER GAMING CASE | ATX, MATX, MITX | TEMPERED GLASS SIDE PANEL | MESH...",0,1097.80,1397.20
"CHASSIS:GAMEKM ICE DRILL WHITE","GAMEKM ICE DRILL WHITE MID TOWER GAMING CASE | ATX, MATX, MITX | TEMPERED GLASS SIDE PANEL | MES...",0,1097.80,1397.20
"CHASSIS:GSTORM MI-A2","GSTORM MI-A2 ACRYLIC SIDE PANEL | BLACK | IRON NET FRONT | MATX, MITX | NO FAN INCLUDED",0,559.90,727.87
"CHASSIS:INPLAY ESPORT 06 BLACK","INPLAY ESPORT 06 BLACK | E-ATX, MICRO ATX | TEMPERED SIDE PANEL | W/ LED | 1 MONTH WARRANTY | 3 ...",1,1185.80,1455.30
"CHASSIS:INPLAY ESPORT 06 PINK","INPLAY ESPORT 06 PINK | E-ATX, MICRO ATX | TEMPERED SIDE PANEL | W/ LED | 1 MONTH WARRANTY | 3 D...",1,1206.45,1551.15
"CHASSIS:INPLAY ESPORT 06 WHITE","INPLAY ESPORT 06 WHITE | E-ATX, MICRO ATX | TEMPERED SIDE PANEL | W/ LED | 1 MONTH WARRANTY | 3 ...",0,1206.45,1551.15
"CHASSIS:INPLAY ESPORT03 PINK RGB STRIP","INPLAY ESPORT 03 PINK TEMPERED SIDE PANEL W/ RGB STRIP FITS ATX, MICRO ATX, MINI ATX,  | 1 MONTH...",0,1137.40,1395.90
"CHASSIS:INPLAY LITE X1","INPLAY LITE X1 COMPUTER CASE",3,344.30,453.85
"CHASSIS:INPLAY METEOR 01","INPLAY METEOR 01 | ATX, MICRO ATX, MINI ITX | TEMEPERED GLASS SIDE PANEL & FRONT | 12CM*6 | 2*HD...",0,856.575,1008.15
"CHASSIS:INPLAY METEOR 05","INPLAY METEOR 05 | ATX,MATX,MITX, | TEMPERED SIDE PANEL | MESH FRONT",1,1171.25,1303.40
"CHASSIS:INPLAY METEOR 3 WHITE TEMPERED","INPLAY METEOR 3 WHITE TEMPERED SIDE PANEL MICRO ATX MINI ATX NO FAN[ 1 MONTH WARRANTY 1 WEEK OUT...",0,1250.70,1534.95
"CHASSIS:INPLAY WIND 01","INPLAY WIND 01 ACRYLIC SIDE PANEL | HONEYCOMB DESIGN | MICRO ATX | MINI-ITX | 2X120MM | 1X80MM |...",0,576.40,765.39
