,"Item","Description","Quantity","Cost","Price"
,"600 WATTS DARKFLASH 6 POWER SUP","600 WATTS DARKFLASH 6 POWER SUPPLY | 6 MONTHS WARRANTY | 1 WEEK REPLACEMENT",0,1925.00,2362.50
,"BUNDLE:INTEL CORE I3 10TH GEN BUNDLE","INTEL CORE  i3-10100 BOX 10TH GEN PROCESSOR 6M CACHE UP TO 4.30 GHz | 1 YEAR WARRANTY | 1 WEEK O...",3,11128.00,11856.00
,"CABLES:24 PIN DEEPCOOL EC300 WHITE","DEEPCOOL EC300 24 PIN PSU EXTENSION WHITE",0,616.00,800.80
,"CABLES:24 PIN POWER SUPPLY EXTENSION","24 PIN POWER EXTENSION CABLE ATX PC PSU MALE & FEMALE PORT M/F EXPANDER 24.5CM",0,105.60,144.00
,"CABLES:4 PIN POWER SUPPLY EXTENSION","4 PIN POWER EXTENSION 20CM / 8 INCH 12V MALE TO FEMALE PORT",0,71.50,97.50
,"CABLES:HDMI CABLE","HDMI CABLE",11,90.75,123.75
,"CABLES:POWER CORD CABLE","POWER CORD CABLE",21,33.00,54.00
,"CABLES:VGA CABLE","VGA CABLE",12,52.80,84.00
,"CASE FAN:12CM*1 AD-LINK BLACK","AD-LINK 12CM BLACK SINGLE FAN",11,55.00,80.00
,"CASE FAN:12CM*1 GSTORM BLAZE BLUE","GSTORM BLAZE 12CM LED FAN BLUE",8,132.00,185.00
,"CASE FAN:12CM*1 GSTORM BLAZE ICE BLUE","GSTORM BLAZE 12CM LED FAN ICE BLUE",10,132.00,185.00
,"CASE FAN:12CM*1 GSTORM BLAZE RED","GSTORM BLAZE 12CM LED FAN RED",3,132.00,185.00
,"CASE FAN:12CM*1 GSTORM BLAZE RGB","GSTORM BLAZE 12CM LED FAN RGB",6,132.00,185.00
,"CASE FAN:12CM*3 INPLAY ICE TOWER RGB","INPLAY ICE TOWER 12CM 3 FAN KIT RGB WITH FAN HUB & REMOTE/ 6 MONTHS WARRANTY ONLY",5,727.10,880.88
,"CASE FAN:12CM*3 KEYTECH GALAXY X3","KEYTECH GALAXY X3 ARGB COOLING FANS 3 IN 1 MUSIC SYNC GAMING FAN | 6 PIN CONNECTOR | ARGB LIGHTI...",2,734.80,955.24
,"CASE FAN:12CM*3 KEYTECH STORM X3 PRO","KEYTECH STORM X3 PRO ARGB COOLING FANS 3 IN 1 MUSIC SYNC GAMING FAN | 6 PIN CONNECTOR | ARGB LIG...",3,712.00,983.26
,"CASE FAN:8CM*1 AD-LINK BLACK","AD-LINK 8CM BLACK SINGLE FAN",0,38.50,52.50
,"CASE FAN:KEYTECH STORM X3 3 IN 1 ARGB CO","KEYTECH STORM X3 3 IN 1 ARGB COOLING FAN MUSIC SYNC GAMING FAN",0,712.80,926.64
,"CCTV:HIKVISION DS-7204HGHI-F1 DVR","HIKVISION DS-7204HGHI-F1 720P 4CHANNEL HDTVI/ANALOG/AHD DVR",1,1638.00,1701.00
,"CHASSIS:COOLMAN ARMOR BLACK","COOLMAN ARMOR BLACK",1,1354.10,1661.85
,"CHASSIS:COOLMAN ARMOR WHITE","COOLMAN ARMOR WHITE",0,1518.00,2049.30
,"CHASSIS:DARKFLASH DLM21 BLACK","DARKFLASH DLM21 BLACK/ 3 DAYS WARRANTY ON ELECTRONICS PARTS WITH BPX",1,1942.60,2384.84
,"CHASSIS:DARKFLASH DLM21 PINK","DARKFLASH DLM21 PINK CABINET TYPE TEMPERED GLASS | 15 DAYS WARRANTY ON ELECTRONIC PARTS ONLY",0,2060.30,2528.55
,"CHASSIS:DARKFLASH WATER SQUARE 5 TEMPER","DARKFLASH WATER SQUARE 5 TEMPERED FRONT AND SIDE WITH 3PCS RGB FAN | 1 MONTH WARRANTY ON ELECTRO...",0,1942.60,2384.10
,"CHASSIS:DLM 23 WHITE DARK FLASH","DARKFLASH DLM23 WHITE | 3 DAYS WARRANTY ON ELECTRONICS PARTS WITH BOX",0,2178.00,2673.00
,"CHASSIS:FUZION HELA SERIES ATX TEMPERED","FUZION HELA SERIES ATX TEMPERED GLASS GAMING CASE/PINK/CP01/WITH 700 WATTS POWER SUPPLY/1 MONTH ...",2,2255.00,2767.50
,"CHASSIS:FUZION MINI ATX | 165 -22","FUZION MINI ATX ACRYLIC SIDE WITH 700W POWER SUPPLY/2X RGB FANS/165-22/1 MONTH WARRANTY ON ELECT...",4,1320.00,1620.00
,"CHASSIS:FUZION MINI ATX CASE WITH 700WA","FUZION MINI ATX CASE WITH 700WATTS POWER SUPPLY/275-D001/ 1 MONTH WARRANTY FOR ELECTRONIC PARTS ...",2,825.00,1072.50
,"CHASSIS:GSTORM MI-A2","GSTORM MI-A2 ACRYLIC SIDE PANEL | BLACK | IRON NET FRONT | MATX, MITX | NO FAN INCLUDED",0,559.90,727.87
,"CHASSIS:INPLAY ESPORT 03 PINK","INPLAY ESPORT 03 PINK TEMPERED SIDE PANEL W/ RGB STRIP FITS ATX, MICRO ATX, MINI ATX",0,1137.40,1395.90
,"CHASSIS:INPLAY LITE X1 PC CASE","INPLAY LITE X1 PC CASE",3,344.30,453.85
,"CHASSIS:INPLAY METEOR 05","INPLAY METEOR 05 | ATX,MATX,MITX, | TEMPERED SIDE PANEL | MESH FRONT",0,1113.00,1303.40
,"CHASSIS:INPLAY WIND 01","INPLAY WIND 01 ACRYLIC SIDE PANEL | HONEYCOMB DESIGN | MICRO ATX | MINI-ITX | 2X120MM | 1X80MM |...",0,564.30,749.32
,"CHASSIS:KEYTECH T1000 W/ 4 PCS RGB FANS","KEYTECH T1000 WITH 4 PCS RGB FAN | TEMPERED SIDE PANEL ATX, MATX, MINI ITX | 1 MONTH WARRANTY | ...",0,1574.10,1931.85
,"CHASSIS:KEYTECH T850 TEMPERED GLASS GAM","KEYTECH T850 TEMPERED GLASS GAMING CASE",0,1049.40,1335.60
