"Item","Description","Quantity","Cost","BranchCost","Price"
"ACCESSORIES:200MHZ FJ-2002 2 VGA SPLITTER","200MHZ 2 PORTS VGA SPLITTER FJ-2002..",3,180.00,198,270.00
"ACCESSORIES:AMP RJ45 CONNECTOR","AMP RJ45 CONNECTOR",2,280.00,308,420.00
"ACCESSORIES:DEEPCOOL Z3 THERMAL PASTE","DEEPCOOL Z3 THERMAL PASTE/ NO WARRANTY",1,100.00,110,150.00
"ACCESSORIES:FANTECH AC3001 HEADSET STAND","FANTECH AC3001 RED TOWER HEADSET STAND",0,586.00,644.6,837.98
"ACCESSORIES:FANTECH MPR350 AURORA","FANTECH MPR350 AURORA RGB GAMING | 15 DAYS WARRANTY",1,777.00,854.7,1087.80
"ACCESSORIES:HDMI BI-DIRECTION SWITCH FJ-HD2","HDMI BI-DIRECTION SWITCH FJ-HD201..",4,250.00,275,375.00
"ACCESSORIES:HDMI TO VGA CONVERTER","HDMI TO VGA CONVERTER / 1 WEEK WARRANTY ONLY",1,276.00,303.6,414.00
"ACCESSORIES:TP-LINK DECO M5","TP-LINK DECO M5 (1-PACK) AC1300 WHOLE HOME MESH WIFI SYSTEM | CONNECT OVER 100 DEVICES, DUALBAND...",0,3910.00,4301,4692.00
"ACCESSORIES:TP-LINK LB130 KASA LED BULB","TP-LINK LB130 KASA SMART WI-FI LED BULB W/ MILTI COLOUR | MANAGE REMOTELY | SAVE ENERGY | 6 MONT...",0,2173.00,2390.3,2933.55
"ACCESSORIES:TP-LINK PA7010P-KIT AV1000","TP-LINK PA7010P-KIT AV1000 GIGABIT PASSTHROUGH POWERLINE STARTER KIT | 6 MONTHS WTY | 15 DAYS OU...",0,3825.00,4207.5,4590.00
"ACCESSORIES:TP-LINK SMART WIFI SOCKET","TP-LINK TAPO P100 MINI SMART WI-FI SOCKET | REMOTE CONTROL | SCHEDULE & TIMER | VOICE CONTROL | ...",1,361.00,397.1,541.50
"ACCESSORIES:USB BLUETOOTH DONGLE 4.0","USB BLUETOOTH DONGLE 4.0",0,120.00,132,210.00
"ACCESSORIES:USB HUB / CARD READER TYPE C","USB HUB 3.0/3.1- CARD READER TYPE C|1 MONTH WARRANTY | 3 DAYS OUTRIGHT REPLACEMENT",1,300.00,330,450.00
"ACCESSORIES:USB HUB ORICO W6PH4 HUB 4 PORTS","ORICO W6PH4 HUB 4 PORTS | 1 MONTH WARRANTY | 3 DAYS OUTRIGHT REPLACEMENT",2,320.00,352,480.00
"ACCESSORIES:USB SOUND AUDIO CONTROLLER","USB SOUND AUDIO CONTROLLER/ 3D SOUND (AC-3) AND VIRTUAL 5.1 | 7 DAYS WARRANTY ONLY",4,88.00,96.8,132.00
"BUNDLE:INTEL CORE I3-10100 W/ MSI H410","INTEL CORE  i3-10100 BOX 10TH GEN PROCESSOR 6M CACHE UP TO 4.30 GHz | 1 YEAR WARRANTY | 1 WEEK O...",0,10400.00,11128,11856.00
"CABLES:24 PIN DEEPCOOL EC300 WHITE","DEEPCOOL EC300 24P WHITE 345X62X17MM 24 PINS EXTENSION TABLE |  1 MONTH WARRANTY | 7 DAYS OUTRIG...",3,560.00,616,800.80
"CABLES:24 PIN GENERIC PSU EXTENSION","24 PIN POWER EXTENSION CABLE  ATX PC PSU MALE & FEMALE PORT M/F EXPANDER 24.5 CM",0,96.00,105.6,144.00
"CABLES:4 PIN GENERIC PSU EXTENSION","4 PIN PSU  EXTENSION 20CM/ 8 INCH 12V MALE TO FEMALE PORT",0,65.00,71.5,97.50
"CABLES:CAT5E INTELLIGENT 305M UTP","CAT5E INTELLIGENT 305M UTP CABLE",0,1200.00,1320,1200.00
"CABLES:HDMI CABLE","HDMI CABLE 1.5 METERS",4,45.00,90.75,67.50
"CABLES:HEAVY DUTY POWER CORD 1.5M","HEAVY DUTY POWER CORD 1.5M/ 1 WEEK WARRANTY ONLY",51,25.00,66,37.50
"CABLES:POWER CORD CABLE","POWER CORD CABLE",26,30.00,33,45.00
"CABLES:VGA CABLE","Cable VGA To VGA Cord 1.5",41,45.00,52.8,84.00
"CASE FAN:12CM*1 ADLINK BLACK","ADLINK 12CM BLACK SINGLE FAN",29,50.00,55,80.00
"CASE FAN:12CM*1 DARKFLASH D1 RAINBOW","DARKFLASH D1 12CM RAINBOW FAN",0,169.00,185.9,253.50
